func_id: 100
=====================================

5	1213	保留信息	10	2	80	1

func_id: 804
=====================================



func_id: 302
=====================================

0	120	客户号	10	2	16	0
1	134	交易密码	10	2	12	1
2	121	资金帐号	10	2	16	0
3	125	帐号类别	10	2	2	1
4	123	股东代码	10	2	12	0
5	110	委托方式	10	2	8	0
6	1206	客户类别	1	2	1	0
7	101	交易所名称	10	2	12	0
8	132	币种	1	2	1	0
9	5250	CPU	10	2	800	1
10	5251	HD	10	2	800	1
11	5252	LIP	10	2	800	1
12	5253	系统节点编号	3	2	8	1
13	5254	真实营业部代码	3	2	8	1

0	1213	保留信息	10	2	80	1

func_id: 4230
=====================================



func_id: 1122
=====================================

0	120	客户号	10	2	16	0
1	134	交易密码	10	2	12	1
2	121	资金帐号	10	2	16	0
3	125	帐号类别	10	2	2	1
4	123	股东代码	10	2	12	0
5	110	委托方式	10	2	8	0
6	113	操作标志	1	2	1	1
7	299	对方分支代码	10	2	16	0
8	298	对方客户代码	10	2	16	0
9	243	对方资金帐号	10	2	16	0
10	158	对方密码	10	2	12	1
11	361	升级版本标识	10	2	256	1
12	5250	CPU	10	2	800	1
13	5251	HD	10	2	800	1
14	5252	LIP	10	2	800	1
15	5253	系统节点编号	3	2	8	1
16	5254	真实营业部代码	3	2	8	1

0	123	股东代码	10	2	12	0
1	124	股东名称	10	2	24	0
2	125	帐号类别	10	2	2	1
3	121	资金帐号	10	2	16	0
4	173	席位代码	10	2	8	0
5	281	融资融券标识	1	2	1	1
6	1213	保留信息	10	2	80	1

func_id: 140
=====================================

0	120	客户号	10	2	16	0
1	134	交易密码	10	2	12	1
2	121	资金帐号	10	2	16	0
3	125	帐号类别	10	2	2	1
4	123	股东代码	10	2	12	0
5	110	委托方式	10	2	8	0
6	234	类型	6	2	1	0
7	113	操作标志	1	2	1	1
8	736	信息类型	1	2	1	0
9	1217	备注	10	2	80	0
10	1227	参数	10	2	80	1
11	362	页面标识	10	2	256	1
12	5250	CPU	10	2	800	1
13	5251	HD	10	2	800	1
14	5252	LIP	10	2	800	1
15	5253	系统节点编号	3	2	8	1
16	5254	真实营业部代码	3	2	8	1

0	1223	检查风险标志	1	2	1	1
1	113	操作标志	1	2	1	1
2	149	返回信息	10	2	80	0
3	251	提示信息1	10	2	512	0
4	252	提示信息2	10	2	512	0
5	253	提示信息3	10	2	512	0
6	254	提示信息4	10	2	512	0
7	255	提示信息5	10	2	512	0
8	256	提示信息6	10	2	512	0
9	257	提示信息7	10	2	512	0
10	258	提示信息8	10	2	512	0
11	259	提示信息9	10	2	512	0
12	1213	保留信息	10	2	80	1

func_id: 322
=====================================

0	120	客户号	10	2	16	0
1	134	交易密码	10	2	12	1
2	121	资金帐号	10	2	16	0
3	125	帐号类别	10	2	2	1
4	123	股东代码	10	2	12	0
5	110	委托方式	10	2	8	0
6	1207	起始序号	3	2	8	0
7	736	信息类型	1	2	1	0
8	1227	参数	10	2	80	1
9	234	类型	6	2	1	0
10	1217	备注	10	2	80	0
11	1223	检查风险标志	1	2	1	1
12	362	页面标识	10	2	256	1


func_id: 104
=====================================

0	120	客户号	10	2	16	0
1	134	交易密码	10	2	12	1
2	121	资金帐号	10	2	16	0
3	125	帐号类别	10	2	2	1
4	123	股东代码	10	2	12	0
5	110	委托方式	10	2	8	0
6	132	币种	1	2	1	0
7	113	操作标志	1	2	1	1
8	1228	模式	10	2	80	0
9	1299	功能版本	3	2	8	1
10	101	交易所名称	10	2	12	0
11	5250	CPU	10	2	800	1
12	5251	HD	10	2	800	1
13	5252	LIP	10	2	800	1
14	5253	系统节点编号	3	2	8	1
15	5254	真实营业部代码	3	2	8	1

0	132	币种	1	2	1	0
1	300	资金余额	6	2	12	0
2	301	可用资金	6	2	12	0
3	161	冻结资金	6	2	12	0
4	302	可取资金	6	2	12	0
5	310	总资产	6	2	12	0
6	205	最新市值	6	2	12	0
7	1213	保留信息	10	2	80	1

